Zeitstempel,reserve_2,Zaehler,Strom,Spannung,Temp_ax8,Torque_ax8,WirkLeistung
2025-09-23 15:55:52.660,4,0,"2,0125","231,82","46,2939","-0,394",350
2025-09-23 15:55:54.857,6,0,"2,7125","231,82","46,2965","-0,461",350
2025-09-23 15:55:55.970,8,0,"2,7125","231,82","46,2991","-0,458","444,5"
2025-09-23 15:55:57.557,10,0,"2,7125","231,82","46,2999","-0,374","444,5"
2025-09-23 15:55:59.513,12,0,"2,7125","231,78","46,3","-0,462","444,5"
2025-09-23 15:56:00.650,14,0,"2,765","231,78","46,3","-0,462","444,5"
2025-09-23 15:56:02.420,16,0,"2,765","231,78","46,3","-0,477","444,5"
2025-09-23 15:56:04.127,18,0,"2,765","231,58","46,3","-0,477","444,5"
2025-09-23 15:56:05.857,20,0,"2,7475","231,58","46,3987","-0,457","437,5"
2025-09-23 15:56:07.323,22,0,"2,7475","231,58","46,4","-0,457","437,5"
2025-09-23 15:56:09.227,24,0,"2,7475","231,68","46,4","-0,407","437,5"
2025-09-23 15:56:10.907,26,0,"2,73","231,68","46,4391","-0,411","437,5"
2025-09-23 15:56:13.357,28,0,"2,73","231,68","46,5","-0,515","437,5"
2025-09-23 15:56:14.093,30,0,"2,73","231,68","46,6","-0,417","437,5"
2025-09-23 15:56:15.723,32,0,"2,73","231,68","46,6","-0,445","437,5"
2025-09-23 15:56:17.520,34,0,"2,73","231,68","46,6968","-0,443",448
2025-09-23 15:56:19.297,36,0,"2,73","231,68","46,7919","-0,526",448
2025-09-23 15:56:20.377,38,0,"2,73","231,88","46,7919","-0,526",448
2025-09-23 15:56:22.537,40,0,"2,765","231,88","46,8159","-0,413",448
2025-09-23 15:56:23.197,42,0,"2,765","231,88","46,9","-0,413",448
2025-09-23 15:56:25.150,44,0,"2,765","231,97","46,9388","-0,505",448
2025-09-23 15:56:27.637,46,0,"2,7475","231,97",47,"-0,42",448
2025-09-23 15:56:28.640,48,0,"2,7475","231,97","47,1","-0,392",448
2025-09-23 15:56:31.087,50,0,"2,7475","231,93","47,1438","-0,415",448
2025-09-23 15:56:32.020,52,0,"2,7125","231,93","47,3","-0,411",448
2025-09-23 15:56:33.777,54,0,"2,7125","231,93","47,3","-0,465",448
2025-09-23 15:56:35.087,56,0,"2,7125","231,99","47,3994","-0,465",448
2025-09-23 15:56:36.973,58,0,"2,765","231,99","47,4","-0,446",448
2025-09-23 15:56:37.990,60,0,"2,765","231,99","47,4986","-0,446",448
2025-09-23 15:56:40.027,62,0,"2,765","231,99","47,5995","-0,48",448
2025-09-23 15:56:42.453,64,0,"2,73",232,"47,7","-0,393",448
2025-09-23 15:56:43.440,66,0,"2,73",232,"47,773","-0,393",448
2025-09-23 15:56:44.473,68,0,"2,73","232,1","47,773","-0,4",448
2025-09-23 15:56:46.767,70,0,"2,765","232,1","47,8965","-0,463",448
2025-09-23 15:56:47.987,72,0,"2,765","232,1","47,9","-0,463",448
2025-09-23 15:56:49.917,74,0,"2,765","232,1",48,"-0,429",448
2025-09-23 15:56:51.497,76,0,"2,765","231,99","48,1","-0,429",448
2025-09-23 15:56:53.057,78,0,"2,7475","231,99","48,123","-0,439",448
2025-09-23 15:56:55.047,80,0,"2,7475","231,99","48,2","-0,425","446,25"
2025-09-23 15:57:06.550,4,1,"1,9425","232,18","48,6","-0,479","311,5"
2025-09-23 15:57:07.470,6,1,"1,9425","231,66","48,6","-0,472","311,5"
2025-09-23 15:57:09.923,8,1,"2,8175","231,66","48,6009","-0,472","311,5"
2025-09-23 15:57:11.300,10,1,"2,8175","231,58","48,7","-0,499","311,5"
2025-09-23 15:57:12.403,12,1,"2,8175","231,58","48,7771","-0,499","311,5"
2025-09-23 15:57:14.623,14,1,"2,8875","231,58","48,8","-0,485","453,25"
2025-09-23 15:57:15.430,16,1,"2,8875","231,58","48,8","-0,466","453,25"
2025-09-23 15:57:17.797,18,1,"2,8875","231,52","48,9","-0,49","453,25"
2025-09-23 15:57:19.697,20,1,"2,8","231,52","48,9","-0,489","453,25"
2025-09-23 15:57:21.103,22,1,"2,8","231,52","48,9","-0,461","453,25"
2025-09-23 15:57:23.627,24,1,"2,8525","231,57","49,0001","-0,522","453,25"
2025-09-23 15:57:24.567,26,1,"2,8525","231,57","49,1","-0,505",462
2025-09-23 15:57:25.077,28,1,"2,8525","231,57","49,1","-0,505",462
2025-09-23 15:57:27.180,30,1,"2,8525","231,57","49,1304","-0,543",462
2025-09-23 15:57:29.323,32,1,"2,8525","231,63","49,3","-0,52",462
2025-09-23 15:57:30.497,34,1,"2,87","231,63","49,3","-0,52",462
2025-09-23 15:57:32.217,36,1,"2,87","231,99","49,4","-0,51",462
2025-09-23 15:57:34.680,38,1,"2,8175","231,99","49,5","-0,469",462
2025-09-23 15:57:35.663,40,1,"2,8175","231,99","49,5","-0,498",462
2025-09-23 15:57:37.997,42,1,"2,8175","231,99","49,6082","-0,463",462
2025-09-23 15:57:39.063,44,1,"2,8175","231,99","49,6082","-0,463",462
2025-09-23 15:57:41.047,46,1,"2,87","231,99","49,8","-0,476",462
2025-09-23 15:57:42.087,48,1,"2,87","232,13","49,8","-0,476",462
2025-09-23 15:57:44.083,50,1,"2,8525","232,13","49,9","-0,54",462
2025-09-23 15:57:45.720,52,1,"2,8525","232,13","49,9","-0,44","451,5"
2025-09-23 15:57:46.873,54,1,"2,8525","232,13","49,905","-0,527","451,5"
2025-09-23 15:57:49.073,56,1,"2,8525","232,03","50,1","-0,486","451,5"
2025-09-23 15:57:49.720,58,1,"2,8525","232,03","50,1","-0,486","451,5"
2025-09-23 15:57:52.770,60,1,"2,8525","232,03","50,2063","-0,434","451,5"
2025-09-23 15:57:53.183,62,1,"2,8525","232,03","50,2063","-0,434","451,5"
2025-09-23 15:57:54.950,64,1,"2,8525","232,03","50,3","-0,506","451,5"
2025-09-23 15:57:56.987,66,1,"2,8525","232,03","50,3297","-0,49","465,5"
2025-09-23 15:57:58.193,68,1,"2,8525","232,03","50,4033","-0,5","465,5"
2025-09-23 15:58:00.390,70,1,"2,8525","231,95","50,4974","-0,465","465,5"
2025-09-23 15:58:01.423,72,1,"2,87","231,95","50,6","-0,523","465,5"
2025-09-23 15:58:03.050,74,1,"2,87","231,95","50,6","-0,51","465,5"
2025-09-23 15:58:04.737,76,1,"2,87","231,72","50,7","-0,495","465,5"
2025-09-23 15:58:06.453,78,1,"2,87","231,72","50,8","-0,526",462
2025-09-23 15:58:07.387,80,1,"2,87","231,72","50,823","-0,502",462
2025-09-23 15:58:19.553,4,2,"1,9425","232,34","51,3","-0,415","311,5"
2025-09-23 15:58:21.987,6,2,"2,835","232,17","51,3","-0,452","311,5"
2025-09-23 15:58:22.973,8,2,"2,835","232,17","51,3","-0,463","311,5"
2025-09-23 15:58:25.057,10,2,"2,835","232,31","51,389","-0,452","311,5"
2025-09-23 15:58:25.707,12,2,"2,835","232,31","51,3966","-0,452","311,5"
2025-09-23 15:58:27.697,14,2,"2,8","232,31","51,4","-0,47","458,5"
2025-09-23 15:58:30.053,16,2,"2,8","232,31","51,4","-0,492","458,5"
2025-09-23 15:58:30.767,18,2,"2,8","232,24","51,4001","-0,457","458,5"
2025-09-23 15:58:33.453,20,2,"2,73","232,24","51,5","-0,506","453,25"
2025-09-23 15:58:34.817,22,2,"2,73","232,24","51,5","-0,509","453,25"
2025-09-23 15:58:36.327,24,2,"2,73","232,24","51,6","-0,495","453,25"
2025-09-23 15:58:37.277,26,2,"2,73","232,13","51,6","-0,508","453,25"
2025-09-23 15:58:39.310,28,2,"2,835","232,13","51,6","-0,508","453,25"
2025-09-23 15:58:40.417,30,2,"2,835","232,13","51,7847","-0,447","453,25"
2025-09-23 15:58:43.060,32,2,"2,8525","232,14","51,8","-0,482","453,25"
2025-09-23 15:58:43.830,34,2,"2,8525","232,14","51,8","-0,444","458,5"
2025-09-23 15:58:45.520,36,2,"2,8525","232,14","51,8","-0,501","458,5"
2025-09-23 15:58:48.447,38,2,"2,8525","232,11","51,9","-0,459","458,5"
2025-09-23 15:58:49.567,40,2,"2,835","232,11","51,9875","-0,483","458,5"
2025-09-23 15:58:50.517,42,2,"2,835","232,11","51,9875","-0,527","458,5"
2025-09-23 15:58:52.690,44,2,"2,835","232,08","52,1","-0,469","458,5"
2025-09-23 15:58:53.687,46,2,"2,835","232,08","52,1","-0,459","458,5"
2025-09-23 15:58:56.113,48,2,"2,835","232,08","52,1978","-0,434","460,25"
2025-09-23 15:58:57.187,50,2,"2,835","232,08","52,2087","-0,434","460,25"
2025-09-23 15:58:59.533,52,2,"2,94","231,85","52,3","-0,509","460,25"
2025-09-23 15:59:00.110,54,2,"2,94","231,85","52,3","-0,509","460,25"
2025-09-23 15:59:01.863,56,2,"2,94","231,81","52,3198","-0,494","460,25"
