Zeitstempel,reserve_2,Zaehler,Strom,Spannung,Temp_ax8,Torque_ax8,WirkLeistung
2025-11-05 15:24:40.210,4,0,"1,9075","231,91","46,4","-0,667","309,75"
2025-11-05 15:24:41.777,6,0,"3,1325","231,91","46,4","-0,691","309,75"
2025-11-05 15:24:43.167,8,0,"3,1325","231,91","46,3998","-0,71","516,25"
2025-11-05 15:24:45.227,10,0,"3,1325","231,91","46,4","-0,536","516,25"
2025-11-05 15:24:46.600,12,0,"3,045","231,7","46,4","-0,55","516,25"
2025-11-05 15:24:48.810,14,0,"3,045","231,7","46,4","-0,491","514,5"
2025-11-05 15:24:49.517,16,0,"3,045","231,73","46,4","-0,491","514,5"
2025-11-05 15:24:51.973,18,0,"3,08","231,73","46,4972","-0,647","512,75"
2025-11-05 15:24:52.937,20,0,"3,08","231,73","46,6","-0,593","512,75"
2025-11-05 15:24:55.067,22,0,"3,08","231,72","46,6","-0,52","512,75"
2025-11-05 15:24:56.420,24,0,"3,0275","231,72","46,7484","-0,508","512,75"
2025-11-05 15:24:57.917,26,0,"3,0275","231,72","46,8","-0,508","514,5"
2025-11-05 15:25:00.817,28,0,"3,0975","231,7","46,9","-0,585","507,5"
2025-11-05 15:25:01.870,30,0,"3,0975","231,7","46,9998","-0,718","507,5"
2025-11-05 15:25:03.300,32,0,"3,0975","231,7","47,1","-0,718","507,5"
2025-11-05 15:25:04.943,34,0,"3,0975","231,66","47,2","-0,564","507,5"
2025-11-05 15:25:06.563,36,0,"3,0625","231,66","47,3","-0,564","507,5"
2025-11-05 15:25:07.980,38,0,"3,0625","231,74","47,3993","-0,732","507,5"
2025-11-05 15:25:09.737,40,0,"3,08","231,74","47,4981","-0,601","507,5"
2025-11-05 15:25:10.780,42,0,"3,08","231,74","47,5999","-0,723","502,25"
2025-11-05 15:25:12.540,44,0,"3,08","231,74","47,6998","-0,712","502,25"
2025-11-05 15:25:13.837,46,0,"3,08","231,74","47,7958","-0,501","502,25"
2025-11-05 15:25:16.437,48,0,"3,0275","231,81","47,9","-0,699","502,25"
2025-11-05 15:25:18.193,50,0,"3,0275","231,73","47,9963","-0,517","502,25"
2025-11-05 15:25:19.383,52,0,"3,0275","231,73","48,1","-0,562","502,25"
2025-11-05 15:25:20.997,54,0,"3,0625","231,73","48,199","-0,483",511
2025-11-05 15:25:22.387,56,0,"3,0625","231,73","48,3198","-0,549",511
2025-11-05 15:25:23.780,58,0,"3,0625","231,89","48,4","-0,511",511
2025-11-05 15:25:26.017,60,0,"3,08","231,89","48,6","-0,504","509,25"
2025-11-05 15:25:28.703,62,0,"3,08","231,84","48,7","-0,59","509,25"
2025-11-05 15:25:29.450,64,0,"3,0275","231,84","48,8162","-0,572","509,25"
2025-11-05 15:25:30.790,66,0,"3,0275","231,84","48,9","-0,674","509,25"
2025-11-05 15:25:33.130,68,0,"3,0275","231,67","49,1","-0,641","509,25"
2025-11-05 15:25:33.220,70,0,"3,0275","231,67","49,1","-0,641","509,25"
2025-11-05 15:25:36.227,72,0,"3,0625","231,67","49,3","-0,682","507,5"
2025-11-05 15:25:37.800,74,0,"3,0625","231,55","49,4","-0,548","507,5"
2025-11-05 15:25:38.997,76,0,"3,0625","231,55","49,4996","-0,53","505,75"
2025-11-05 15:25:40.367,78,0,"3,0625","231,55","49,6","-0,616","505,75"
2025-11-05 15:25:42.753,80,0,"2,9925","231,66","49,8","-0,422","505,75"
2025-11-05 15:25:53.260,4,1,"1,9075","231,85","50,2542","-0,42","309,75"
2025-11-05 15:25:54.770,6,1,"3,2375","231,85","50,3","-0,78","526,75"
2025-11-05 15:25:56.810,8,1,"3,2375","231,53","50,3763","-0,627","526,75"
2025-11-05 15:25:58.780,10,1,"3,2025","231,53","50,4","-0,784",532
2025-11-05 15:26:00.280,12,1,"3,2025","231,53","50,5399","-0,697",532
2025-11-05 15:26:01.490,14,1,"3,2025","231,75","50,6","-0,694",532
2025-11-05 15:26:03.693,16,1,"3,255","231,75","50,6","-0,596","537,25"
2025-11-05 15:26:05.253,18,1,"3,255","231,75","50,7995","-0,583","537,25"
2025-11-05 15:26:06.673,20,1,"3,255","231,7","50,8","-0,698","537,25"
2025-11-05 15:26:08.827,22,1,"3,22","231,7","50,9","-0,709","535,5"
2025-11-05 15:26:09.543,24,1,"3,22","231,7",51,"-0,709","535,5"
2025-11-05 15:26:11.837,26,1,"3,22","231,97","51,1","-0,603","535,5"
2025-11-05 15:26:12.507,28,1,"3,2375","231,97","51,1578","-0,721","535,5"
2025-11-05 15:26:15.090,30,1,"3,2375","231,97","51,3","-0,627","542,5"
2025-11-05 15:26:16.713,32,1,"3,2375","231,96","51,4","-0,688","542,5"
2025-11-05 15:26:17.863,34,1,"3,2375","231,96","51,4954","-0,571","542,5"
2025-11-05 15:26:19.453,36,1,"3,2725","231,96","51,6","-0,579","533,75"
2025-11-05 15:26:21.643,38,1,"3,2725","231,96","51,8","-0,713","533,75"
2025-11-05 15:26:22.693,40,1,"3,2725","232,12","51,8","-0,587","533,75"
2025-11-05 15:26:25.140,42,1,"3,22","232,12","51,9","-0,647","526,75"
2025-11-05 15:26:26.160,44,1,"3,22","232,12","52,0972","-0,588","526,75"
2025-11-05 15:26:28.170,46,1,"3,2025","232,01","52,3","-0,668","542,5"
2025-11-05 15:26:29.230,48,1,"3,2025","232,01","52,3357","-0,564","542,5"
2025-11-05 15:26:31.183,50,1,"3,2025","231,99","52,4665","-0,597","542,5"
2025-11-05 15:26:32.173,52,1,"3,255","231,99","52,5956","-0,654","542,5"
2025-11-05 15:26:34.003,54,1,"3,255","231,99","52,6837","-0,661",539
2025-11-05 15:26:36.460,56,1,"3,255","231,94","52,8","-0,541",539
2025-11-05 15:26:37.210,58,1,"3,255","231,94","52,8","-0,541",539
2025-11-05 15:26:40.120,60,1,"3,2025","231,94","53,1357","-0,782","540,75"
