Zeitstempel,reserve_1,reserve_2,Zaehler,Strom,Spannung,Temp_ax8,Torque_ax8,WirkLeistung
2025-11-05 16:07:34.137,05.11. Test9_FrÃ¤se 5.0mm Referenz,4,0,"2,2225","231,12","54,3","-0,566",350
2025-11-05 16:07:34.747,05.11. Test9_FrÃ¤se 5.0mm Referenz,6,0,"3,0625","231,12","54,3","-0,566","509,25"
2025-11-05 16:07:37.540,05.11. Test9_FrÃ¤se 5.0mm Referenz,8,0,"3,0625","231,56","54,1274","-0,616","509,25"
2025-11-05 16:07:38.500,05.11. Test9_FrÃ¤se 5.0mm Referenz,10,0,"3,115","231,56","54,1274","-0,533","507,5"
2025-11-05 16:07:40.423,05.11. Test9_FrÃ¤se 5.0mm Referenz,12,0,"3,115","231,53","54,1","-0,532","507,5"
2025-11-05 16:07:41.433,05.11. Test9_FrÃ¤se 5.0mm Referenz,14,0,"3,115","231,53","54,1","-0,606","507,5"
2025-11-05 16:07:43.937,05.11. Test9_FrÃ¤se 5.0mm Referenz,16,0,"3,115","231,53","54,1","-0,659","507,5"
2025-11-05 16:07:44.410,05.11. Test9_FrÃ¤se 5.0mm Referenz,18,0,"3,115","231,53","54,1","-0,659","507,5"
2025-11-05 16:07:47.207,05.11. Test9_FrÃ¤se 5.0mm Referenz,20,0,"3,115","231,48","54,2","-0,517","507,5"
2025-11-05 16:07:48.207,05.11. Test9_FrÃ¤se 5.0mm Referenz,22,0,"3,1325","231,48","54,2","-0,588","500,5"
2025-11-05 16:07:50.493,05.11. Test9_FrÃ¤se 5.0mm Referenz,24,0,"3,1325","231,54","54,3","-0,63","500,5"
2025-11-05 16:07:51.473,05.11. Test9_FrÃ¤se 5.0mm Referenz,26,0,"3,1325","231,54","54,3","-0,641","500,5"
2025-11-05 16:07:53.513,05.11. Test9_FrÃ¤se 5.0mm Referenz,28,0,"3,115","231,54","54,3","-0,584",511
2025-11-05 16:07:54.597,05.11. Test9_FrÃ¤se 5.0mm Referenz,30,0,"3,115","231,54","54,3981","-0,632",511
2025-11-05 16:07:56.760,05.11. Test9_FrÃ¤se 5.0mm Referenz,32,0,"3,0975","231,7","54,4992","-0,666",511
2025-11-05 16:07:57.463,05.11. Test9_FrÃ¤se 5.0mm Referenz,34,0,"3,0975","231,7","54,577","-0,553",511
2025-11-05 16:07:59.733,05.11. Test9_FrÃ¤se 5.0mm Referenz,36,0,"3,0975","231,7","54,6","-0,562",511
2025-11-05 16:08:01.343,05.11. Test9_FrÃ¤se 5.0mm Referenz,38,0,"3,08","231,7","54,6955","-0,632",511
2025-11-05 16:08:03.257,05.11. Test9_FrÃ¤se 5.0mm Referenz,40,0,"3,08","231,7","54,7684","-0,612",511
2025-11-05 16:08:04.737,05.11. Test9_FrÃ¤se 5.0mm Referenz,42,0,"3,08","231,7","54,9","-0,646",511
2025-11-05 16:08:06.277,05.11. Test9_FrÃ¤se 5.0mm Referenz,44,0,"3,08","231,76","54,9","-0,653",511
2025-11-05 16:08:07.307,05.11. Test9_FrÃ¤se 5.0mm Referenz,46,0,"3,1325","231,76","54,9965","-0,56",511
