Id,Zeitstempel,MaschinenID,MachineLabel,OrderID,ConfirmationID,MaterialID,Tools,Component,ProgramName,LineNumber,BlockNr,Block,ProgramStatus,OperationMode,cmdSpeed,actSpeed,Override,feedRateOverride,Pos_AX_mm,Pos_AY_mm,Pos_AZ_mm,Pos_ax5,Pos_ax8,Current_AX,Current_AY,Current_AZ,Current_ax5,Current_ax8,Temp_AX,Temp_AY,Temp_AZ,Temp_ax5,Temp_ax8,Torque_AX,Torque_AY,Torque_AZ,Torque_ax5,Torque_ax8,reserve_1,reserve_2,reserve_3,reserve_4,reserve_5,Update_am,Update_durch,Spannung,Strom,WirkLeistung,Arbeit
96,2025-08-04 10:49:15.287,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_FREI_SPF,13,NULL,NULL,NULL,NULL,0,0,100,1,"100,1","195,1","289,508",0,NULL,"0,060242","0,290186","-0,291211","0,034625","0,016602","22,9999","23,2899","25,4017","21,0082","23,4","0,013","0,072","-0,065","0,018","0,007",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,2025-08-04 11:22:01.020,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"-38,3133",108,288,NULL,NULL,"0,12843","0,170471","0,015381","0,022327","0,114746",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,2025-08-04 11:24:27.807,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,21,NULL,NULL,NULL,NULL,500,"377,197",100,6,"-35,9367",108,288,0,NULL,"0,253015","0,175342","0,017578","0,028949","-0,197266","25,7481","33,5098","27,1331","22,4","25,5","0,055","0,041","0,005","0,015","-0,069",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,2025-08-04 11:26:07.867,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,23,NULL,NULL,NULL,NULL,500,"372,62",100,6,"-25,8819",108,288,0,NULL,"0,278394","0,171753","0,008789","0,017975","-0,138184","26,0927","33,8","27,3","22,4","25,8","0,063","0,041","0,002","0,009","-0,091",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,2025-08-04 11:30:28.233,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,25,NULL,NULL,NULL,NULL,500,"374,451",100,6,"-15,9435",108,288,0,NULL,"0,269165","0,175342","0,020947","0,030652","-0,162109","26,1981","34,3","27,4","22,5","25,9004","0,068","0,042","0,004","0,016","-0,053",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,2025-08-04 11:32:08.207,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,27,NULL,NULL,NULL,NULL,500,"374,451",100,6,"-5,91829",108,288,0,NULL,"0,274805","0,175854","0,009961","0,030652","-0,119629","26,4","34,5","27,4031","22,4999","26,2","0,071","0,042","0,002","0,016","-0,078",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,2025-08-04 11:33:48.267,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,29,NULL,NULL,NULL,NULL,500,"374,451",100,6,4,108,"288,127",0,NULL,"0,126379","0,17124","0,329883","0,023651","-0,147949","26,6846","34,7","27,5207","22,5","26,4","0,03","0,041","0,082","0,013","-0,06",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,2025-08-04 11:35:52.987,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,21,NULL,NULL,NULL,NULL,600,"452,271",100,6,"-35,9091",108,288,0,NULL,"0,259937","0,153552","-0,034277","0,01911","-0,1875","26,7017","35,1","27,7733","22,5","26,6965","0,06","0,048","-0,009","0,01","-0,049",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,2025-08-04 11:37:33.043,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,23,NULL,NULL,NULL,NULL,600,"450,439",100,6,"-25,9071",108,288,0,NULL,"0,275574","0,175854","-0,035742","0,030841","-0,161133","26,8485","35,4","27,7922","22,5","26,9","0,067","0,044","-0,007","0,016","-0,063",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,2025-08-04 11:39:13.057,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,25,NULL,NULL,NULL,NULL,600,"449,524",100,6,"-15,8975",108,288,0,NULL,"0,291724","0,169958","-0,038379","0,028571","-0,125977","27,0357","35,7","27,8","22,5","27,1","0,06","0,045","-0,008","0,014","-0,07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,2025-08-04 11:40:53.107,HELLER_PT5,IGH_ProfiTrainer_PT16,60006833,0000220621,SP3789," ","1,2,3,4,5",_N_TEST_1_MPF,27,NULL,NULL,NULL,NULL,600,"448,608",100,6,"-5,95589",108,288,0,NULL,"0,29762","0,184314","-0,032227","0,031409","-0,160156","27,1872","35,9","27,8","22,5","27,3","0,075","0,049","-0,009","0,016","-0,093",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
