Zeitstempel,reserve_2,Zaehler,Strom,Spannung,Temp_ax8,Torque_ax8,WirkLeistung
2025-09-23 15:26:05.950,4,0,"1,9075","236,46","44,9","-0,392","313,25"
2025-09-23 15:26:07.937,6,0,"1,9075",236,"44,9","-0,404","313,25"
2025-09-23 15:26:08.577,8,0,"1,9075",236,"44,9","-0,411","313,25"
2025-09-23 15:26:11.173,10,0,"2,6075",236,"44,9","-0,439","313,25"
2025-09-23 15:26:12.520,12,0,"2,6075","236,06","44,9","-0,359","313,25"
2025-09-23 15:26:13.733,14,0,"2,59","236,06","44,9","-0,424","313,25"
2025-09-23 15:26:15.743,16,0,"2,59","236,06","44,9657","-0,402","432,25"
2025-09-23 15:26:17.237,18,0,"2,59","236,06","44,9657","-0,437","432,25"
2025-09-23 15:26:18.593,20,0,"2,59","236,13","45,0947","-0,364","432,25"
2025-09-23 15:26:21.990,22,0,"2,66","236,22","45,1","-0,376","432,25"
2025-09-23 15:26:22.523,24,0,"2,66","236,22","45,1","-0,442","432,25"
2025-09-23 15:26:23.463,26,0,"2,625","236,22","45,1","-0,384","432,25"
2025-09-23 15:26:25.277,28,0,"2,625","236,22","45,2","-0,384","432,25"
2025-09-23 15:26:26.923,30,0,"2,625","236,22","45,2603","-0,413","432,25"
2025-09-23 15:26:28.280,32,0,"2,625","236,13","45,2603","-0,447","432,25"
2025-09-23 15:26:30.517,34,0,"2,7125","236,13","45,302","-0,487","432,25"
2025-09-23 15:26:31.687,36,0,"2,7125","236,13","45,302","-0,487","432,25"
2025-09-23 15:26:33.880,38,0,"2,7125","235,89","45,4","-0,476","432,25"
2025-09-23 15:26:34.697,40,0,"2,8","235,89","45,4","-0,476","432,25"
2025-09-23 15:26:36.963,42,0,"2,8","235,89","45,5993","-0,361","430,5"
2025-09-23 15:26:37.963,44,0,"2,8","235,89","45,5993","-0,391","430,5"
2025-09-23 15:26:39.753,46,0,"2,8","235,95","45,6007","-0,476","430,5"
2025-09-23 15:26:42.227,48,0,"2,8175","235,95","45,7","-0,387","430,5"
2025-09-23 15:26:42.983,50,0,"2,8175","235,92","45,8","-0,382","430,5"
2025-09-23 15:26:44.060,52,0,"2,8175","235,92","45,8","-0,395","430,5"
2025-09-23 15:26:46.703,54,0,"2,8175","235,92","45,9","-0,379",434
2025-09-23 15:26:49.210,56,0,"2,8175","235,88",46,"-0,379",434
2025-09-23 15:26:49.410,58,0,"2,8175","235,88",46,"-0,395",434
2025-09-23 15:26:50.550,60,0,"2,8175","235,88","46,0766","-0,455",434
2025-09-23 15:26:53.633,62,0,"2,8175","235,78","46,1","-0,376",434
2025-09-23 15:26:54.120,64,0,"2,8175","235,78","46,3","-0,475",434
2025-09-23 15:26:56.140,66,0,"2,7825","235,78","46,3357","-0,446","428,75"
2025-09-23 15:26:58.387,68,0,"2,7825","235,78","46,4","-0,394","428,75"
2025-09-23 15:26:59.793,70,0,"2,7825","235,48","46,4","-0,452","428,75"
2025-09-23 15:27:01.517,72,0,"2,765","235,48","46,5","-0,452","428,75"
2025-09-23 15:27:03.253,74,0,"2,765","235,48","46,6","-0,358","428,75"
2025-09-23 15:27:05.197,76,0,"2,765","235,47","46,6","-0,383","428,75"
2025-09-23 15:27:05.783,78,0,"2,765","235,47","46,6994","-0,404","428,75"
2025-09-23 15:27:07.550,80,0,"2,765","235,47","46,6994","-0,404","432,25"
2025-09-23 15:27:19.613,4,1,"1,925","236,15","47,1","-0,454","313,25"
2025-09-23 15:27:21.117,6,1,"1,925","235,69","47,1","-0,459","313,25"
2025-09-23 15:27:22.550,8,1,"2,8175","235,69","47,1","-0,458","313,25"
2025-09-23 15:27:24.240,10,1,"2,8175","235,69","47,2","-0,474","458,5"
2025-09-23 15:27:25.000,12,1,"2,8175","235,69","47,2","-0,474","458,5"
2025-09-23 15:27:27.590,14,1,"2,8175","235,65","47,3","-0,525","458,5"
2025-09-23 15:27:28.977,16,1,"2,8","235,65","47,3","-0,525","458,5"
2025-09-23 15:27:30.600,18,1,"2,8","235,65","47,3945","-0,44","458,5"
2025-09-23 15:27:31.857,20,1,"2,8","235,68","47,3945","-0,453","458,5"
2025-09-23 15:27:33.887,22,1,"2,8","235,68","47,4937","-0,468","463,75"
2025-09-23 15:27:34.857,24,1,"2,8","235,68","47,4937","-0,468","463,75"
2025-09-23 15:27:37.700,26,1,"2,8","235,69","47,6","-0,515","463,75"
2025-09-23 15:27:39.367,28,1,"2,8175","235,69","47,7","-0,506","463,75"
2025-09-23 15:27:40.663,30,1,"2,8175","235,69","47,7","-0,463","463,75"
2025-09-23 15:27:42.527,32,1,"2,8175","235,77","47,8","-0,48","463,75"
2025-09-23 15:27:43.637,34,1,"2,8","235,77","47,8116","-0,515","463,75"
2025-09-23 15:27:45.240,36,1,"2,8","235,77","47,9","-0,515",469
2025-09-23 15:27:46.623,38,1,"2,8","235,77","47,9999","-0,461",469
2025-09-23 15:27:48.960,40,1,"2,8","235,74","48,1","-0,536",469
2025-09-23 15:27:51.040,42,1,"2,8175","235,74","48,193","-0,444",469
2025-09-23 15:27:51.690,44,1,"2,8175","235,74","48,193","-0,444",469
